,head,relation,tail,label
75,DB03010,CELL_DRUG,TE-5,1
96,DB03010,CELL_DRUG,EC-GI-10,1
99,DB03010,CELL_DRUG,HCE-4,1
108,DB03010,CELL_DRUG,KYSE-140,1
109,DB03010,CELL_DRUG,KYSE-410,1
110,DB03010,CELL_DRUG,KYSE-520,1
111,DB03010,CELL_DRUG,KYSE-70,1
132,DB03010,CELL_DRUG,TE-15,1
136,DB03010,CELL_DRUG,TE-1,1
137,DB03010,CELL_DRUG,TE-10,1
138,DB03010,CELL_DRUG,TE-8,1
205,DB03010,CELL_DRUG,COLO-680N,1
295,DB03010,CELL_DRUG,KYSE-150,1
296,DB03010,CELL_DRUG,KYSE-180,1
297,DB03010,CELL_DRUG,KYSE-270,1
298,DB03010,CELL_DRUG,KYSE-450,1
299,DB03010,CELL_DRUG,KYSE-510,1
434,DB03010,CELL_DRUG,OE19,1
441,DB03010,CELL_DRUG,OE33,1
526,DB03010,CELL_DRUG,TE-9,1
527,DB03010,CELL_DRUG,TE-11,1
528,DB03010,CELL_DRUG,TE-6,1
529,DB03010,CELL_DRUG,TE-12,1
592,DB03010,CELL_DRUG,KYSE-220,1
672,DB03010,CELL_DRUG,KYSE-50,1
682,DB03010,CELL_DRUG,OE21,1
696,DB03010,CELL_DRUG,T-T,1
783,DB05524,CELL_DRUG,KYSE-450,1
788,DB05524,CELL_DRUG,KYAE-1,1
893,DB04297,CELL_DRUG,ESO26,1
894,DB04297,CELL_DRUG,TE-4,1
948,DB06603,CELL_DRUG,KYSE-410,1
949,DB06603,CELL_DRUG,KYSE-520,1
950,DB06603,CELL_DRUG,KYSE-70,1
967,DB06603,CELL_DRUG,TE-10,1
1152,DB06603,CELL_DRUG,OE19,1
1307,DB06603,CELL_DRUG,OE21,1
1361,DB06603,CELL_DRUG,FLO-1,1
1362,DB06603,CELL_DRUG,OACp4C,1
1363,DB06603,CELL_DRUG,ESO26,1
1364,DB06603,CELL_DRUG,KYAE-1,1
1366,DB06603,CELL_DRUG,TE-4,1
1385,DB00570,CELL_DRUG,HCE-4,1
1395,DB00570,CELL_DRUG,TE-10,1
1442,DB00570,CELL_DRUG,TE-11,1
1515,DB01248,CELL_DRUG,HCE-4,1
1527,DB01248,CELL_DRUG,TE-10,1
1573,DB01248,CELL_DRUG,TE-11,1
1761,DB06287,CELL_DRUG,KYSE-410,1
1926,DB06287,CELL_DRUG,OE21,1
1954,DB06287,CELL_DRUG,SK-GT-4,1
2008,DB05134,CELL_DRUG,KYSE-410,1
2045,DB05134,CELL_DRUG,OE19,1
2085,DB05134,CELL_DRUG,ESO26,1
2086,DB05134,CELL_DRUG,TE-4,1
2130,DB12731,CELL_DRUG,HCE-4,1
2137,DB12731,CELL_DRUG,TE-10,1
2240,DB00997,CELL_DRUG,HCE-4,1
2295,DB00997,CELL_DRUG,KYSE-270,1
2296,DB00997,CELL_DRUG,KYSE-510,1
2372,DB00997,CELL_DRUG,KYSE-220,1
2403,DB00441,CELL_DRUG,HCE-4,1
2412,DB00441,CELL_DRUG,TE-10,1
2537,DB04690,CELL_DRUG,EC-GI-10,1
2545,DB04690,CELL_DRUG,TE-15,1
2621,DB04690,CELL_DRUG,KYSE-270,1
2622,DB04690,CELL_DRUG,KYSE-510,1
2684,DB04690,CELL_DRUG,OE33,1
2745,DB04690,CELL_DRUG,KYSE-220,1
2854,DB00570,CELL_DRUG,EC-GI-10,1
2872,DB00570,CELL_DRUG,TE-1,1
2873,DB00570,CELL_DRUG,TE-8,1
2984,DB00570,CELL_DRUG,KYSE-150,1
2985,DB00570,CELL_DRUG,KYSE-180,1
2986,DB00570,CELL_DRUG,KYSE-450,1
3085,DB00570,CELL_DRUG,OE19,1
3141,DB00570,CELL_DRUG,TE-9,1
3142,DB00570,CELL_DRUG,TE-6,1
3176,DB00570,CELL_DRUG,KYSE-220,1
3215,DB00570,CELL_DRUG,OE21,1
3218,DB00570,CELL_DRUG,T-T,1
3257,DB00570,CELL_DRUG,FLO-1,1
3258,DB00570,CELL_DRUG,OACp4C,1
3259,DB00570,CELL_DRUG,OACM5-1,1
3261,DB00570,CELL_DRUG,ESO26,1
3262,DB00570,CELL_DRUG,ESO51,1
3264,DB00570,CELL_DRUG,TE-4,1
3399,DB01248,CELL_DRUG,TE-5,1
3407,DB01248,CELL_DRUG,EC-GI-10,1
3415,DB01248,CELL_DRUG,KYSE-140,1
3416,DB01248,CELL_DRUG,KYSE-410,1
3417,DB01248,CELL_DRUG,KYSE-520,1
3418,DB01248,CELL_DRUG,KYSE-70,1
3427,DB01248,CELL_DRUG,TE-15,1
3432,DB01248,CELL_DRUG,TE-1,1
3433,DB01248,CELL_DRUG,TE-8,1
3553,DB01248,CELL_DRUG,KYSE-150,1
3554,DB01248,CELL_DRUG,KYSE-180,1
3555,DB01248,CELL_DRUG,KYSE-270,1
3556,DB01248,CELL_DRUG,KYSE-450,1
3669,DB01248,CELL_DRUG,OE19,1
3673,DB01248,CELL_DRUG,OE33,1
3739,DB01248,CELL_DRUG,TE-9,1
3740,DB01248,CELL_DRUG,TE-6,1
3791,DB01248,CELL_DRUG,KYSE-220,1
3843,DB01248,CELL_DRUG,KYSE-50,1
3849,DB01248,CELL_DRUG,OE21,1
3860,DB01248,CELL_DRUG,T-T,1
3905,DB01248,CELL_DRUG,FLO-1,1
3906,DB01248,CELL_DRUG,OACp4C,1
3907,DB01248,CELL_DRUG,OACM5-1,1
3909,DB01248,CELL_DRUG,SK-GT-4,1
3910,DB01248,CELL_DRUG,ESO26,1
3911,DB01248,CELL_DRUG,ESO51,1
3913,DB01248,CELL_DRUG,TE-4,1
3940,DB08916,CELL_DRUG,EC-GI-10,1
3943,DB08916,CELL_DRUG,OE19,1
3993,DB02010,CELL_DRUG,EC-GI-10,1
3999,DB02010,CELL_DRUG,KYSE-520,1
4005,DB02010,CELL_DRUG,TE-15,1
4008,DB02010,CELL_DRUG,TE-1,1
4009,DB02010,CELL_DRUG,TE-8,1
4098,DB02010,CELL_DRUG,KYSE-180,1
4099,DB02010,CELL_DRUG,KYSE-270,1
4233,DB02010,CELL_DRUG,TE-6,1
4293,DB02010,CELL_DRUG,OE21,1
4299,DB02010,CELL_DRUG,T-T,1
4333,DB02010,CELL_DRUG,FLO-1,1
4334,DB02010,CELL_DRUG,OACp4C,1
4337,DB02010,CELL_DRUG,TE-4,1
4474,DB01229,CELL_DRUG,EC-GI-10,1
4481,DB01229,CELL_DRUG,KYSE-140,1
4492,DB01229,CELL_DRUG,TE-8,1
4584,DB01229,CELL_DRUG,KYSE-150,1
4585,DB01229,CELL_DRUG,KYSE-180,1
4586,DB01229,CELL_DRUG,KYSE-270,1
4587,DB01229,CELL_DRUG,KYSE-450,1
4666,DB01229,CELL_DRUG,OE19,1
4667,DB01229,CELL_DRUG,OE33,1
4714,DB01229,CELL_DRUG,TE-9,1
4742,DB01229,CELL_DRUG,KYSE-220,1
4771,DB01229,CELL_DRUG,T-T,1
4800,DB01229,CELL_DRUG,FLO-1,1
4801,DB01229,CELL_DRUG,OACp4C,1
4802,DB01229,CELL_DRUG,OACM5-1,1
4832,DB00877,CELL_DRUG,EC-GI-10,1
4837,DB00877,CELL_DRUG,KYSE-140,1
4983,DB00877,CELL_DRUG,TE-6,1
