,head,relation,tail,label
215,DB03010,CELL_DRUG,DB,1
222,DB03010,CELL_DRUG,DOHH-2,1
262,DB03010,CELL_DRUG,HT,1
279,DB03010,CELL_DRUG,KARPAS-422,1
312,DB03010,CELL_DRUG,MC116,1
422,DB03010,CELL_DRUG,TUR,1
476,DB03010,CELL_DRUG,BC-3,1
477,DB03010,CELL_DRUG,BC-1,1
485,DB03010,CELL_DRUG,SCC-3,1
489,DB03010,CELL_DRUG,A4-Fuk,1
490,DB03010,CELL_DRUG,A3-KAW,1
540,DB03010,CELL_DRUG,CTB-1,1
656,DB03010,CELL_DRUG,Farage,1
703,DB03010,CELL_DRUG,GRANTA-519,1
709,DB03010,CELL_DRUG,JM1,1
710,DB03010,CELL_DRUG,JSC-1,1
722,DB03010,CELL_DRUG,NU-DUL-1,1
724,DB03010,CELL_DRUG,OCI-LY-19,1
728,DB03010,CELL_DRUG,SC-1,1
729,DB03010,CELL_DRUG,SLVL,1
730,DB03010,CELL_DRUG,SU-DHL-16,1
731,DB03010,CELL_DRUG,SU-DHL-4,1
732,DB03010,CELL_DRUG,SU-DHL-5,1
733,DB03010,CELL_DRUG,SU-DHL-6,1
734,DB03010,CELL_DRUG,SU-DHL-8,1
737,DB03010,CELL_DRUG,TK,1
738,DB03010,CELL_DRUG,VAL,1
749,DB09054,CELL_DRUG,SU-DHL-6,1
767,DB05015,CELL_DRUG,SU-DHL-10,1
768,DB05015,CELL_DRUG,SU-DHL-16,1
769,DB05015,CELL_DRUG,SU-DHL-5,1
811,DB05220,CELL_DRUG,SU-DHL-16,1
818,DB03496,CELL_DRUG,BC-1,1
824,DB03496,CELL_DRUG,SU-DHL-5,1
825,DB03496,CELL_DRUG,SU-DHL-8,1
882,DB04297,CELL_DRUG,JM1,1
888,DB04297,CELL_DRUG,SU-DHL-10,1
889,DB04297,CELL_DRUG,SU-DHL-16,1
890,DB04297,CELL_DRUG,SU-DHL-5,1
891,DB04297,CELL_DRUG,SU-DHL-6,1
892,DB04297,CELL_DRUG,SU-DHL-8,1
1011,DB06603,CELL_DRUG,DB,1
1074,DB06603,CELL_DRUG,MC116,1
1145,DB06603,CELL_DRUG,TUR,1
1173,DB06603,CELL_DRUG,RL,1
1181,DB06603,CELL_DRUG,BC-3,1
1182,DB06603,CELL_DRUG,BC-1,1
1187,DB06603,CELL_DRUG,SCC-3,1
1189,DB06603,CELL_DRUG,A3-KAW,1
1224,DB06603,CELL_DRUG,CTB-1,1
1301,DB06603,CELL_DRUG,Farage,1
1323,DB06603,CELL_DRUG,JM1,1
1324,DB06603,CELL_DRUG,JSC-1,1
1339,DB06603,CELL_DRUG,NU-DUL-1,1
1341,DB06603,CELL_DRUG,OCI-LY-19,1
1346,DB06603,CELL_DRUG,RC-K8,1
1348,DB06603,CELL_DRUG,SU-DHL-10,1
1349,DB06603,CELL_DRUG,SU-DHL-16,1
1350,DB06603,CELL_DRUG,SU-DHL-4,1
1351,DB06603,CELL_DRUG,SU-DHL-5,1
1352,DB06603,CELL_DRUG,SU-DHL-6,1
1353,DB06603,CELL_DRUG,SU-DHL-8,1
1356,DB06603,CELL_DRUG,TK,1
1357,DB06603,CELL_DRUG,VAL,1
1402,DB00570,CELL_DRUG,CRO-AP2,1
1408,DB00570,CELL_DRUG,HT,1
1414,DB00570,CELL_DRUG,MC116,1
1435,DB00570,CELL_DRUG,RL,1
1449,DB00570,CELL_DRUG,CTB-1,1
1477,DB00570,CELL_DRUG,JEKO-1,1
1478,DB00570,CELL_DRUG,JM1,1
1481,DB00570,CELL_DRUG,NU-DUL-1,1
1482,DB00570,CELL_DRUG,OCI-LY-19,1
1485,DB00570,CELL_DRUG,SU-DHL-16,1
1494,DB00570,CELL_DRUG,OCI-LY7,1
1495,DB00987,CELL_DRUG,JM1,1
1496,DB00987,CELL_DRUG,NU-DUL-1,1
1534,DB01248,CELL_DRUG,CRO-AP2,1
1539,DB01248,CELL_DRUG,HT,1
1545,DB01248,CELL_DRUG,MC116,1
1566,DB01248,CELL_DRUG,RL,1
1580,DB01248,CELL_DRUG,CTB-1,1
1615,DB01248,CELL_DRUG,JEKO-1,1
1616,DB01248,CELL_DRUG,JM1,1
1619,DB01248,CELL_DRUG,NU-DUL-1,1
1622,DB01248,CELL_DRUG,SU-DHL-16,1
1623,DB01248,CELL_DRUG,SU-DHL-4,1
1637,DB01248,CELL_DRUG,OCI-LY7,1
1651,DB00563,CELL_DRUG,CRO-AP2,1
1652,DB00563,CELL_DRUG,DB,1
1655,DB00563,CELL_DRUG,DOHH-2,1
1684,DB00563,CELL_DRUG,TUR,1
1698,DB00563,CELL_DRUG,A4-Fuk,1
1699,DB00563,CELL_DRUG,A3-KAW,1
1704,DB00563,CELL_DRUG,CTB-1,1
1716,DB00563,CELL_DRUG,JEKO-1,1
1717,DB00563,CELL_DRUG,JSC-1,1
1724,DB00563,CELL_DRUG,SU-DHL-5,1
1725,DB00563,CELL_DRUG,SU-DHL-6,1
1728,DB00563,CELL_DRUG,WSU-DLCL2,1
1784,DB06287,CELL_DRUG,CRO-AP2,1
1787,DB06287,CELL_DRUG,DB,1
1788,DB06287,CELL_DRUG,DOHH-2,1
1811,DB06287,CELL_DRUG,KARPAS-422,1
1870,DB06287,CELL_DRUG,RL,1
1886,DB06287,CELL_DRUG,CTB-1,1
1920,DB06287,CELL_DRUG,Farage,1
