,head,relation,tail,label
23,DB03010,CELL_DRUG,Calu-3,1
26,DB03010,CELL_DRUG,NCI-H1437,1
27,DB03010,CELL_DRUG,NCI-H1623,1
28,DB03010,CELL_DRUG,NCI-H1648,1
30,DB03010,CELL_DRUG,NCI-H2085,1
32,DB03010,CELL_DRUG,NCI-H2228,1
33,DB03010,CELL_DRUG,NCI-H2342,1
34,DB03010,CELL_DRUG,NCI-H2347,1
35,DB03010,CELL_DRUG,NCI-H2405,1
55,DB03010,CELL_DRUG,NCI-H2030,1
56,DB03010,CELL_DRUG,NCI-H2122,1
57,DB03010,CELL_DRUG,NCI-H1734,1
58,DB03010,CELL_DRUG,NCI-H650,1
61,DB03010,CELL_DRUG,NCI-H2087,1
65,DB03010,CELL_DRUG,Calu-6,1
67,DB03010,CELL_DRUG,NCI-H1355,1
68,DB03010,CELL_DRUG,NCI-H1792,1
72,DB03010,CELL_DRUG,NCI-H2009,1
73,DB03010,CELL_DRUG,SW1573,1
122,DB03010,CELL_DRUG,LXF-289,1
129,DB03010,CELL_DRUG,PC-14,1
149,DB03010,CELL_DRUG,NCI-H23,1
151,DB03010,CELL_DRUG,NCI-H522,1
169,DB03010,CELL_DRUG,HOP-62,1
192,DB03010,CELL_DRUG,ABC-1,1
202,DB03010,CELL_DRUG,COR-L105,1
303,DB03010,CELL_DRUG,LC-2-ad,1
349,DB03010,CELL_DRUG,NCI-H441,1
350,DB03010,CELL_DRUG,NCI-H1793,1
351,DB03010,CELL_DRUG,NCI-H358,1
356,DB03010,CELL_DRUG,NCI-H1573,1
391,DB03010,CELL_DRUG,SK-LU-1,1
435,DB03010,CELL_DRUG,NCI-H838,1
468,DB03010,CELL_DRUG,NCI-H1651,1
486,DB03010,CELL_DRUG,RERF-LC-MS,1
514,DB03010,CELL_DRUG,NCI-H1975,1
578,DB03010,CELL_DRUG,HCC-44,1
579,DB03010,CELL_DRUG,HCC-827,1
604,DB03010,CELL_DRUG,NCI-H1944,1
606,DB03010,CELL_DRUG,NCI-H3122,1
634,DB03010,CELL_DRUG,H3255,1
635,DB03010,CELL_DRUG,201T,1
674,DB03010,CELL_DRUG,NCI-H1435,1
675,DB03010,CELL_DRUG,NCI-H1568,1
677,DB03010,CELL_DRUG,NCI-H1781,1
690,DB03010,CELL_DRUG,RERF-LC-KJ,1
782,DB05524,CELL_DRUG,COR-L105,1
877,DB04297,CELL_DRUG,HCC-78,1
908,DB06603,CELL_DRUG,NCI-H1623,1
910,DB06603,CELL_DRUG,NCI-H2347,1
927,DB06603,CELL_DRUG,NCI-H650,1
961,DB06603,CELL_DRUG,PC-14,1
976,DB06603,CELL_DRUG,NCI-H23,1
977,DB06603,CELL_DRUG,NCI-H522,1
989,DB06603,CELL_DRUG,NCI-H322M,1
1000,DB06603,CELL_DRUG,ABC-1,1
1175,DB06603,CELL_DRUG,NCI-H1651,1
1209,DB06603,CELL_DRUG,NCI-H1975,1
1255,DB06603,CELL_DRUG,HCC-827,1
1270,DB06603,CELL_DRUG,NCI-H1944,1
1296,DB06603,CELL_DRUG,HCC-78,1
1365,DB06603,CELL_DRUG,EMC-BAC-2,1
1375,DB00570,CELL_DRUG,NCI-H1437,1
1377,DB00570,CELL_DRUG,NCI-H2030,1
1413,DB00570,CELL_DRUG,LC-2-ad,1
1430,DB00570,CELL_DRUG,NCI-H838,1
1437,DB00570,CELL_DRUG,RERF-LC-MS,1
1463,DB00570,CELL_DRUG,201T,1
1490,DB00570,CELL_DRUG,EMC-BAC-1,1
1501,DB01248,CELL_DRUG,NCI-H1437,1
1504,DB01248,CELL_DRUG,NCI-H2030,1
1505,DB01248,CELL_DRUG,NCI-H1734,1
1507,DB01248,CELL_DRUG,NCI-H2291,1
1544,DB01248,CELL_DRUG,LC-2-ad,1
1561,DB01248,CELL_DRUG,NCI-H838,1
1568,DB01248,CELL_DRUG,RERF-LC-MS,1
1599,DB01248,CELL_DRUG,201T,1
1630,DB01248,CELL_DRUG,EMC-BAC-1,1
1749,DB06287,CELL_DRUG,NCI-H2085,1
1754,DB06287,CELL_DRUG,NCI-H1355,1
1764,DB06287,CELL_DRUG,LXF-289,1
1769,DB06287,CELL_DRUG,A549,1
1783,DB06287,CELL_DRUG,COR-L105,1
1835,DB06287,CELL_DRUG,NCI-H1793,1
1859,DB06287,CELL_DRUG,NCI-H838,1
1955,DB06287,CELL_DRUG,EMC-BAC-2,1
2009,DB05134,CELL_DRUG,LXF-289,1
2010,DB05134,CELL_DRUG,PC-14,1
2012,DB05134,CELL_DRUG,NCI-H23,1
2015,DB05134,CELL_DRUG,A549,1
2037,DB05134,CELL_DRUG,SK-LU-1,1
2046,DB05134,CELL_DRUG,NCI-H838,1
2055,DB05134,CELL_DRUG,NCI-H1975,1
2061,DB05134,CELL_DRUG,HCC-44,1
2067,DB05134,CELL_DRUG,NCI-H3122,1
2091,DB08916,CELL_DRUG,EMC-BAC-1,1
2092,DB07101,CELL_DRUG,NCI-H1437,1
2094,DB07101,CELL_DRUG,NCI-H2291,1
2126,DB12731,CELL_DRUG,NCI-H2030,1
2156,DB12731,CELL_DRUG,NCI-H838,1
2161,DB12731,CELL_DRUG,RERF-LC-MS,1
2183,DB12731,CELL_DRUG,EMC-BAC-1,1
2188,DB08911,CELL_DRUG,NCI-H1437,1
2190,DB08911,CELL_DRUG,NCI-H2291,1
2245,DB00997,CELL_DRUG,NCI-H23,1
2247,DB00997,CELL_DRUG,A549,1
2251,DB00997,CELL_DRUG,HOP-62,1
2366,DB00997,CELL_DRUG,HCC-44,1
2379,DB00997,CELL_DRUG,HCC-78,1
2392,DB00997,CELL_DRUG,EMC-BAC-2,1
2395,DB00441,CELL_DRUG,NCI-H1437,1
2397,DB00441,CELL_DRUG,NCI-H2030,1
2426,DB00441,CELL_DRUG,LC-2-ad,1
2436,DB00441,CELL_DRUG,NCI-H838,1
2441,DB00441,CELL_DRUG,RERF-LC-MS,1
2514,DB04690,CELL_DRUG,NCI-H1623,1
2525,DB04690,CELL_DRUG,NCI-H2122,1
2527,DB04690,CELL_DRUG,NCI-H2087,1
2529,DB04690,CELL_DRUG,NCI-H1792,1
2552,DB04690,CELL_DRUG,A549,1
2667,DB04690,CELL_DRUG,SK-LU-1,1
2692,DB04690,CELL_DRUG,NCI-H1651,1
2747,DB04690,CELL_DRUG,NCI-H2023,1
2756,DB04690,CELL_DRUG,HCC-78,1
2764,DB04690,CELL_DRUG,NCI-H1781,1
2813,DB00570,CELL_DRUG,NCI-H1648,1
2833,DB00570,CELL_DRUG,NCI-H2122,1
2838,DB00570,CELL_DRUG,Calu-6,1
2840,DB00570,CELL_DRUG,NCI-H1355,1
2841,DB00570,CELL_DRUG,NCI-H1792,1
2844,DB00570,CELL_DRUG,NCI-H2009,1
2863,DB00570,CELL_DRUG,LXF-289,1
2866,DB00570,CELL_DRUG,PC-14,1
2882,DB00570,CELL_DRUG,NCI-H23,1
2883,DB00570,CELL_DRUG,NCI-H522,1
2885,DB00570,CELL_DRUG,A549,1
2896,DB00570,CELL_DRUG,NCI-H322M,1
2899,DB00570,CELL_DRUG,HOP-62,1
3028,DB00570,CELL_DRUG,NCI-H358,1
3032,DB00570,CELL_DRUG,NCI-H1755,1
3033,DB00570,CELL_DRUG,NCI-H1993,1
3101,DB00570,CELL_DRUG,NCI-H1651,1
3137,DB00570,CELL_DRUG,NCI-H1975,1
3169,DB00570,CELL_DRUG,HCC-44,1
3182,DB00570,CELL_DRUG,NCI-H2023,1
3184,DB00570,CELL_DRUG,NCI-H3122,1
3204,DB00570,CELL_DRUG,HCC-78,1
3263,DB00570,CELL_DRUG,EMC-BAC-2,1
3357,DB01248,CELL_DRUG,NCI-H1623,1
3358,DB01248,CELL_DRUG,NCI-H1648,1
3359,DB01248,CELL_DRUG,NCI-H2085,1
3361,DB01248,CELL_DRUG,NCI-H2228,1
3379,DB01248,CELL_DRUG,VMRC-LCD,1
3384,DB01248,CELL_DRUG,NCI-H2122,1
3388,DB01248,CELL_DRUG,NCI-H2087,1
3390,DB01248,CELL_DRUG,Calu-6,1
3392,DB01248,CELL_DRUG,NCI-H1355,1
3393,DB01248,CELL_DRUG,NCI-H1792,1
3397,DB01248,CELL_DRUG,NCI-H2009,1
3422,DB01248,CELL_DRUG,LXF-289,1
3425,DB01248,CELL_DRUG,PC-14,1
3442,DB01248,CELL_DRUG,NCI-H23,1
3443,DB01248,CELL_DRUG,NCI-H522,1
3445,DB01248,CELL_DRUG,A549,1
3454,DB01248,CELL_DRUG,NCI-H322M,1
3458,DB01248,CELL_DRUG,HOP-62,1
3603,DB01248,CELL_DRUG,NCI-H358,1
3606,DB01248,CELL_DRUG,NCI-H1573,1
3607,DB01248,CELL_DRUG,NCI-H1666,1
3609,DB01248,CELL_DRUG,NCI-H1755,1
3610,DB01248,CELL_DRUG,NCI-H1993,1
3690,DB01248,CELL_DRUG,NCI-H1651,1
3729,DB01248,CELL_DRUG,NCI-H1975,1
3779,DB01248,CELL_DRUG,HCC-44,1
3780,DB01248,CELL_DRUG,HCC-827,1
3800,DB01248,CELL_DRUG,NCI-H1944,1
3801,DB01248,CELL_DRUG,NCI-H2023,1
3803,DB01248,CELL_DRUG,NCI-H3122,1
3831,DB01248,CELL_DRUG,HCC-78,1
3847,DB01248,CELL_DRUG,NCI-H1781,1
3855,DB01248,CELL_DRUG,RERF-LC-KJ,1
3912,DB01248,CELL_DRUG,EMC-BAC-2,1
3941,DB08916,CELL_DRUG,COR-L105,1
3945,DB08916,CELL_DRUG,H3255,1
3962,DB02010,CELL_DRUG,NCI-H1648,1
3963,DB02010,CELL_DRUG,NCI-H1650,1
3964,DB02010,CELL_DRUG,NCI-H1693,1
3975,DB02010,CELL_DRUG,NCI-H2122,1
3976,DB02010,CELL_DRUG,NCI-H650,1
3981,DB02010,CELL_DRUG,NCI-H1792,1
3983,DB02010,CELL_DRUG,NCI-H2009,1
4003,DB02010,CELL_DRUG,LXF-289,1
4004,DB02010,CELL_DRUG,PC-14,1
4014,DB02010,CELL_DRUG,A549,1
4023,DB02010,CELL_DRUG,NCI-H322M,1
4026,DB02010,CELL_DRUG,HOP-62,1
4136,DB02010,CELL_DRUG,NCI-H358,1
4139,DB02010,CELL_DRUG,NCI-H1755,1
4140,DB02010,CELL_DRUG,NCI-H1993,1
4227,DB02010,CELL_DRUG,NCI-H1975,1
4252,DB02010,CELL_DRUG,HCC-44,1
4283,DB02010,CELL_DRUG,HCC-78,1
4296,DB02010,CELL_DRUG,RERF-LC-KJ,1
4336,DB02010,CELL_DRUG,EMC-BAC-2,1
4442,DB01229,CELL_DRUG,NCI-H1648,1
4454,DB01229,CELL_DRUG,VMRC-LCD,1
4457,DB01229,CELL_DRUG,NCI-H2122,1
4461,DB01229,CELL_DRUG,Calu-6,1
4463,DB01229,CELL_DRUG,NCI-H1792,1
4464,DB01229,CELL_DRUG,NCI-H2009,1
4484,DB01229,CELL_DRUG,LXF-289,1
4487,DB01229,CELL_DRUG,PC-14,1
4498,DB01229,CELL_DRUG,NCI-H522,1
4499,DB01229,CELL_DRUG,A549,1
4621,DB01229,CELL_DRUG,NCI-H1755,1
4622,DB01229,CELL_DRUG,NCI-H1993,1
4711,DB01229,CELL_DRUG,NCI-H1975,1
4738,DB01229,CELL_DRUG,HCC-44,1
4746,DB01229,CELL_DRUG,NCI-H2023,1
4748,DB01229,CELL_DRUG,NCI-H3122,1
4804,DB01229,CELL_DRUG,EMC-BAC-2,1
4818,DB00877,CELL_DRUG,NCI-H2342,1
4839,DB00877,CELL_DRUG,NCI-H1563,1
4845,DB00877,CELL_DRUG,A549,1
4854,DB00877,CELL_DRUG,HOP-62,1
4862,DB00877,CELL_DRUG,COR-L105,1
4921,DB00877,CELL_DRUG,NCI-H1793,1
4923,DB00877,CELL_DRUG,NCI-H1666,1
4925,DB00877,CELL_DRUG,NCI-H1993,1
4980,DB00877,CELL_DRUG,NCI-H1975,1
5000,DB00877,CELL_DRUG,NCI-H2023,1
5011,DB00877,CELL_DRUG,NCI-H1781,1
5013,DB00877,CELL_DRUG,RERF-LC-KJ,1
5036,DB00877,CELL_DRUG,EMC-BAC-2,1
5073,DB00441,CELL_DRUG,A549,1
5219,DB00441,CELL_DRUG,HCC-78,1
5223,DB00441,CELL_DRUG,NCI-H1781,1
5323,DB00188,CELL_DRUG,Calu-3,1
5326,DB00188,CELL_DRUG,NCI-H1623,1
5327,DB00188,CELL_DRUG,NCI-H1648,1
5328,DB00188,CELL_DRUG,NCI-H1650,1
5329,DB00188,CELL_DRUG,NCI-H1693,1
5330,DB00188,CELL_DRUG,NCI-H2085,1
5332,DB00188,CELL_DRUG,NCI-H2228,1
5333,DB00188,CELL_DRUG,NCI-H2347,1
5357,DB00188,CELL_DRUG,NCI-H2122,1
5358,DB00188,CELL_DRUG,NCI-H650,1
5362,DB00188,CELL_DRUG,NCI-H2087,1
5365,DB00188,CELL_DRUG,Calu-6,1
5367,DB00188,CELL_DRUG,NCI-H1355,1
5368,DB00188,CELL_DRUG,NCI-H1792,1
5372,DB00188,CELL_DRUG,NCI-H2009,1
5400,DB00188,CELL_DRUG,LXF-289,1
5402,DB00188,CELL_DRUG,PC-14,1
5420,DB00188,CELL_DRUG,NCI-H23,1
5421,DB00188,CELL_DRUG,NCI-H522,1
5424,DB00188,CELL_DRUG,A549,1
5434,DB00188,CELL_DRUG,NCI-H322M,1
5438,DB00188,CELL_DRUG,HOP-62,1
5465,DB00188,CELL_DRUG,COR-L105,1
5607,DB00188,CELL_DRUG,NCI-H358,1
5610,DB00188,CELL_DRUG,NCI-H1573,1
5611,DB00188,CELL_DRUG,NCI-H1666,1
5613,DB00188,CELL_DRUG,NCI-H1755,1
5614,DB00188,CELL_DRUG,NCI-H1993,1
5644,DB00188,CELL_DRUG,SK-LU-1,1
5752,DB00188,CELL_DRUG,NCI-H1975,1
5808,DB00188,CELL_DRUG,HCC-44,1
5809,DB00188,CELL_DRUG,HCC-827,1
5830,DB00188,CELL_DRUG,NCI-H2023,1
5831,DB00188,CELL_DRUG,NCI-H3122,1
5868,DB00188,CELL_DRUG,HCC-78,1
5887,DB00188,CELL_DRUG,NCI-H1781,1
5895,DB00188,CELL_DRUG,RERF-LC-KJ,1
5953,DB00188,CELL_DRUG,EMC-BAC-2,1
5968,DB12731,CELL_DRUG,Calu-3,1
5970,DB12731,CELL_DRUG,NCI-H2085,1
5977,DB12731,CELL_DRUG,VMRC-LCD,1
5986,DB12731,CELL_DRUG,NCI-H1355,1
5987,DB12731,CELL_DRUG,NCI-H1792,1
