,head,relation,tail,label
76,DB03010,CELL_DRUG,HCC1954,1
77,DB03010,CELL_DRUG,HCC1143,1
78,DB03010,CELL_DRUG,HCC1187,1
79,DB03010,CELL_DRUG,HCC1599,1
80,DB03010,CELL_DRUG,HCC1937,1
81,DB03010,CELL_DRUG,HCC2157,1
82,DB03010,CELL_DRUG,HCC2218,1
83,DB03010,CELL_DRUG,HCC38,1
152,DB03010,CELL_DRUG,MCF7,1
161,DB03010,CELL_DRUG,MDA-MB-231,1
200,DB03010,CELL_DRUG,BT-20,1
203,DB03010,CELL_DRUG,COLO-824,1
212,DB03010,CELL_DRUG,CAL-120,1
224,DB03010,CELL_DRUG,DU-4475,1
227,DB03010,CELL_DRUG,EFM-19,1
234,DB03010,CELL_DRUG,EVSA-T,1
249,DB03010,CELL_DRUG,HCC1569,1
251,DB03010,CELL_DRUG,HCC70,1
314,DB03010,CELL_DRUG,MDA-MB-361,1
315,DB03010,CELL_DRUG,MDA-MB-468,1
331,DB03010,CELL_DRUG,MRK-nu-1,1
367,DB03010,CELL_DRUG,OCUB-M,1
425,DB03010,CELL_DRUG,UACC-893,1
456,DB03010,CELL_DRUG,AU565,1
466,DB03010,CELL_DRUG,CAL-85-1,1
484,DB03010,CELL_DRUG,CAL-51,1
503,DB03010,CELL_DRUG,CAL-148,1
513,DB03010,CELL_DRUG,MDA-MB-415,1
531,DB03010,CELL_DRUG,BT-474,1
539,DB03010,CELL_DRUG,CAMA-1,1
596,DB03010,CELL_DRUG,MDA-MB-436,1
644,DB03010,CELL_DRUG,EFM-192A,1
649,DB03010,CELL_DRUG,HCC1428,1
650,DB03010,CELL_DRUG,HCC202,1
651,DB03010,CELL_DRUG,HDQ-P1,1
663,DB03010,CELL_DRUG,JIMT-1,1
716,DB03010,CELL_DRUG,MDA-MB-330,1
747,DB04769,CELL_DRUG,DU-4475,1
784,DB05524,CELL_DRUG,MDA-MB-175-VII,1
799,DB05424,CELL_DRUG,BT-474,1
801,DB11963,CELL_DRUG,AU565,1
802,DB11963,CELL_DRUG,BT-474,1
834,DB04297,CELL_DRUG,MCF7,1
840,DB04297,CELL_DRUG,EFM-19,1
847,DB04297,CELL_DRUG,MDA-MB-453,1
884,DB04297,CELL_DRUG,MDA-MB-330,1
930,DB06603,CELL_DRUG,HCC1187,1
931,DB06603,CELL_DRUG,HCC1599,1
932,DB06603,CELL_DRUG,HCC2157,1
933,DB06603,CELL_DRUG,HCC2218,1
978,DB06603,CELL_DRUG,T47D,1
979,DB06603,CELL_DRUG,MCF7,1
1006,DB06603,CELL_DRUG,COLO-824,1
1016,DB06603,CELL_DRUG,DU-4475,1
1019,DB06603,CELL_DRUG,EFM-19,1
1031,DB06603,CELL_DRUG,HCC1419,1
1032,DB06603,CELL_DRUG,HCC1569,1
1076,DB06603,CELL_DRUG,MDA-MB-361,1
1077,DB06603,CELL_DRUG,MDA-MB-453,1
1087,DB06603,CELL_DRUG,MRK-nu-1,1
1112,DB06603,CELL_DRUG,OCUB-M,1
1148,DB06603,CELL_DRUG,UACC-893,1
1165,DB06603,CELL_DRUG,AU565,1
1203,DB06603,CELL_DRUG,CAL-148,1
1219,DB06603,CELL_DRUG,BT-474,1
1223,DB06603,CELL_DRUG,CAMA-1,1
1294,DB06603,CELL_DRUG,HCC1428,1
1295,DB06603,CELL_DRUG,HCC202,1
1315,DB06603,CELL_DRUG,HCC1500,1
1331,DB06603,CELL_DRUG,MDA-MB-330,1
1770,DB06287,CELL_DRUG,Hs-578-T,1
1789,DB06287,CELL_DRUG,DU-4475,1
1790,DB06287,CELL_DRUG,EFM-19,1
1800,DB06287,CELL_DRUG,HCC1419,1
1880,DB06287,CELL_DRUG,MDA-MB-415,1
1885,DB06287,CELL_DRUG,CAMA-1,1
1924,DB06287,CELL_DRUG,JIMT-1,1
1936,DB06287,CELL_DRUG,HCC1500,1
1942,DB06287,CELL_DRUG,MDA-MB-330,1
2014,DB05134,CELL_DRUG,MCF7,1
2023,DB05134,CELL_DRUG,EVSA-T,1
2031,DB05134,CELL_DRUG,MDA-MB-175-VII,1
2032,DB05134,CELL_DRUG,MDA-MB-361,1
2052,DB05134,CELL_DRUG,CAL-51,1
2056,DB05134,CELL_DRUG,BT-474,1
2082,DB05134,CELL_DRUG,MDA-MB-330,1
2319,DB00997,CELL_DRUG,OCUB-M,1
2342,DB00997,CELL_DRUG,CAL-51,1
2488,DB04690,CELL_DRUG,HCC1599,1
2490,DB04690,CELL_DRUG,DU-4475,1
2498,DB04690,CELL_DRUG,AU565,1
2499,DB04690,CELL_DRUG,CAL-51,1
2500,DB04690,CELL_DRUG,CAL-148,1
2845,DB00570,CELL_DRUG,HCC1954,1
2846,DB00570,CELL_DRUG,HCC1395,1
2847,DB00570,CELL_DRUG,HCC2157,1
2889,DB00570,CELL_DRUG,Hs-578-T,1
2891,DB00570,CELL_DRUG,MDA-MB-231,1
2920,DB00570,CELL_DRUG,COLO-824,1
2933,DB00570,CELL_DRUG,DU-4475,1
2937,DB00570,CELL_DRUG,EFM-19,1
2995,DB00570,CELL_DRUG,MDA-MB-361,1
2996,DB00570,CELL_DRUG,MDA-MB-453,1
2997,DB00570,CELL_DRUG,MDA-MB-468,1
3014,DB00570,CELL_DRUG,MRK-nu-1,1
3041,DB00570,CELL_DRUG,OCUB-M,1
3111,DB00570,CELL_DRUG,CAL-51,1
3127,DB00570,CELL_DRUG,CAL-148,1
3136,DB00570,CELL_DRUG,MDA-MB-415,1
3138,DB00570,CELL_DRUG,MDA-MB-157,1
3210,DB00570,CELL_DRUG,JIMT-1,1
3225,DB00570,CELL_DRUG,HCC1500,1
3295,DB01248,CELL_DRUG,HCC1954,1
3296,DB01248,CELL_DRUG,HCC1143,1
3297,DB01248,CELL_DRUG,HCC1187,1
3298,DB01248,CELL_DRUG,HCC1395,1
3299,DB01248,CELL_DRUG,HCC1599,1
3300,DB01248,CELL_DRUG,HCC2157,1
3301,DB01248,CELL_DRUG,HCC38,1
3302,DB01248,CELL_DRUG,T47D,1
3303,DB01248,CELL_DRUG,MCF7,1
3304,DB01248,CELL_DRUG,BT-549,1
3305,DB01248,CELL_DRUG,Hs-578-T,1
3306,DB01248,CELL_DRUG,MDA-MB-231,1
3307,DB01248,CELL_DRUG,BT-20,1
3308,DB01248,CELL_DRUG,COLO-824,1
3309,DB01248,CELL_DRUG,DU-4475,1
3310,DB01248,CELL_DRUG,EFM-19,1
3311,DB01248,CELL_DRUG,EVSA-T,1
3312,DB01248,CELL_DRUG,HCC1569,1
3314,DB01248,CELL_DRUG,HCC70,1
3315,DB01248,CELL_DRUG,MDA-MB-175-VII,1
3316,DB01248,CELL_DRUG,MDA-MB-361,1
3317,DB01248,CELL_DRUG,MDA-MB-453,1
3318,DB01248,CELL_DRUG,MDA-MB-468,1
3319,DB01248,CELL_DRUG,MRK-nu-1,1
3320,DB01248,CELL_DRUG,OCUB-M,1
3321,DB01248,CELL_DRUG,UACC-893,1
3322,DB01248,CELL_DRUG,AU565,1
3323,DB01248,CELL_DRUG,CAL-85-1,1
3324,DB01248,CELL_DRUG,UACC-812,1
3325,DB01248,CELL_DRUG,CAL-51,1
3326,DB01248,CELL_DRUG,MFM-223,1
3327,DB01248,CELL_DRUG,CAL-148,1
3328,DB01248,CELL_DRUG,MDA-MB-415,1
3329,DB01248,CELL_DRUG,MDA-MB-157,1
3330,DB01248,CELL_DRUG,CAMA-1,1
3331,DB01248,CELL_DRUG,MDA-MB-436,1
3332,DB01248,CELL_DRUG,HDQ-P1,1
3333,DB01248,CELL_DRUG,JIMT-1,1
3920,DB12340,CELL_DRUG,MDA-MB-330,1
3948,DB08916,CELL_DRUG,HCC2218,1
3949,DB08916,CELL_DRUG,MDA-MB-175-VII,1
3950,DB08916,CELL_DRUG,UACC-893,1
3984,DB02010,CELL_DRUG,HCC1395,1
3985,DB02010,CELL_DRUG,HCC1599,1
3986,DB02010,CELL_DRUG,HCC38,1
4015,DB02010,CELL_DRUG,BT-549,1
4017,DB02010,CELL_DRUG,Hs-578-T,1
4018,DB02010,CELL_DRUG,MDA-MB-231,1
4053,DB02010,CELL_DRUG,DU-4475,1
4057,DB02010,CELL_DRUG,EVSA-T,1
4067,DB02010,CELL_DRUG,HCC1569,1
4069,DB02010,CELL_DRUG,HCC70,1
4108,DB02010,CELL_DRUG,MDA-MB-468,1
4121,DB02010,CELL_DRUG,MRK-nu-1,1
4206,DB02010,CELL_DRUG,CAL-51,1
4284,DB02010,CELL_DRUG,HDQ-P1,1
4315,DB02010,CELL_DRUG,MDA-MB-330,1
4383,DB07101,CELL_DRUG,DU-4475,1
4465,DB01229,CELL_DRUG,HCC1954,1
4466,DB01229,CELL_DRUG,HCC1187,1
4467,DB01229,CELL_DRUG,HCC38,1
4500,DB01229,CELL_DRUG,BT-549,1
4503,DB01229,CELL_DRUG,Hs-578-T,1
4526,DB01229,CELL_DRUG,BT-20,1
4528,DB01229,CELL_DRUG,COLO-824,1
4538,DB01229,CELL_DRUG,DU-4475,1
4541,DB01229,CELL_DRUG,EFM-19,1
4545,DB01229,CELL_DRUG,EVSA-T,1
4593,DB01229,CELL_DRUG,MDA-MB-453,1
4594,DB01229,CELL_DRUG,MDA-MB-468,1
4607,DB01229,CELL_DRUG,MRK-nu-1,1
4630,DB01229,CELL_DRUG,OCUB-M,1
4673,DB01229,CELL_DRUG,AU565,1
4679,DB01229,CELL_DRUG,CAL-85-1,1
4684,DB01229,CELL_DRUG,UACC-812,1
4701,DB01229,CELL_DRUG,CAL-148,1
4710,DB01229,CELL_DRUG,MDA-MB-415,1
4718,DB01229,CELL_DRUG,CAMA-1,1
4767,DB01229,CELL_DRUG,JIMT-1,1
4826,DB00877,CELL_DRUG,HCC1954,1
4843,DB00877,CELL_DRUG,MCF7,1
4847,DB00877,CELL_DRUG,BT-549,1
4849,DB00877,CELL_DRUG,Hs-578-T,1
4850,DB00877,CELL_DRUG,MDA-MB-231,1
4865,DB00877,CELL_DRUG,CAL-120,1
4883,DB00877,CELL_DRUG,HCC70,1
4907,DB00877,CELL_DRUG,MDA-MB-453,1
4908,DB00877,CELL_DRUG,MDA-MB-468,1
4914,DB00877,CELL_DRUG,MRK-nu-1,1
4930,DB00877,CELL_DRUG,OCUB-M,1
4956,DB00877,CELL_DRUG,AU565,1
4966,DB00877,CELL_DRUG,CAL-51,1
4975,DB00877,CELL_DRUG,CAL-148,1
4979,DB00877,CELL_DRUG,MDA-MB-415,1
5008,DB00877,CELL_DRUG,EFM-192A,1
5059,DB00441,CELL_DRUG,HCC38,1
5097,DB00441,CELL_DRUG,DU-4475,1
5182,DB00441,CELL_DRUG,CAL-51,1
5251,DB00441,CELL_DRUG,HCC1599,1
5255,DB00188,CELL_DRUG,HCC1954,1
5256,DB00188,CELL_DRUG,HCC1143,1
5257,DB00188,CELL_DRUG,HCC1187,1
5258,DB00188,CELL_DRUG,HCC1395,1
5259,DB00188,CELL_DRUG,HCC1599,1
5260,DB00188,CELL_DRUG,HCC1937,1
5261,DB00188,CELL_DRUG,HCC2157,1
5262,DB00188,CELL_DRUG,HCC2218,1
5263,DB00188,CELL_DRUG,HCC38,1
5264,DB00188,CELL_DRUG,T47D,1
5265,DB00188,CELL_DRUG,MCF7,1
5266,DB00188,CELL_DRUG,BT-549,1
5267,DB00188,CELL_DRUG,Hs-578-T,1
5268,DB00188,CELL_DRUG,MDA-MB-231,1
5269,DB00188,CELL_DRUG,BT-20,1
5270,DB00188,CELL_DRUG,COLO-824,1
5271,DB00188,CELL_DRUG,CAL-120,1
5272,DB00188,CELL_DRUG,DU-4475,1
5273,DB00188,CELL_DRUG,EFM-19,1
5274,DB00188,CELL_DRUG,EVSA-T,1
5275,DB00188,CELL_DRUG,HCC1419,1
5276,DB00188,CELL_DRUG,HCC1569,1
5278,DB00188,CELL_DRUG,HCC70,1
5279,DB00188,CELL_DRUG,MDA-MB-175-VII,1
5280,DB00188,CELL_DRUG,MDA-MB-361,1
5281,DB00188,CELL_DRUG,MDA-MB-453,1
5282,DB00188,CELL_DRUG,MDA-MB-468,1
5283,DB00188,CELL_DRUG,MRK-nu-1,1
5284,DB00188,CELL_DRUG,OCUB-M,1
5285,DB00188,CELL_DRUG,UACC-893,1
5286,DB00188,CELL_DRUG,AU565,1
5287,DB00188,CELL_DRUG,CAL-85-1,1
5288,DB00188,CELL_DRUG,UACC-812,1
5289,DB00188,CELL_DRUG,CAL-51,1
5290,DB00188,CELL_DRUG,MFM-223,1
5291,DB00188,CELL_DRUG,CAL-148,1
5292,DB00188,CELL_DRUG,MDA-MB-415,1
5293,DB00188,CELL_DRUG,MDA-MB-157,1
5294,DB00188,CELL_DRUG,CAMA-1,1
