,head,relation,tail,label
156,DB03010,CELL_DRUG,CCRF-CEM,1
159,DB03010,CELL_DRUG,MOLT-4,1
189,DB03010,CELL_DRUG,BE-13,1
243,DB03010,CELL_DRUG,GR-ST,1
278,DB03010,CELL_DRUG,KARPAS-45,1
280,DB03010,CELL_DRUG,KE-37,1
304,DB03010,CELL_DRUG,LC4-1,1
306,DB03010,CELL_DRUG,LOUCY,1
364,DB03010,CELL_DRUG,P12-ICHIKAWA,1
365,DB03010,CELL_DRUG,P30-OHK,1
369,DB03010,CELL_DRUG,PF-382,1
378,DB03010,CELL_DRUG,RPMI-8402,1
379,DB03010,CELL_DRUG,RS4-11,1
405,DB03010,CELL_DRUG,SUP-T1,1
446,DB03010,CELL_DRUG,ATN-1,1
495,DB03010,CELL_DRUG,ALL-PO,1
530,DB03010,CELL_DRUG,YT,1
543,DB03010,CELL_DRUG,HAL-01,1
633,DB03010,CELL_DRUG,SUP-B15,1
652,DB03010,CELL_DRUG,ALL-SIL,1
654,DB03010,CELL_DRUG,DND-41,1
720,DB03010,CELL_DRUG,MY-M12,1
744,DB08142,CELL_DRUG,LOUCY,1
759,DB12874,CELL_DRUG,ALL-PO,1
763,DB05015,CELL_DRUG,MOLT-13,1
795,DB11800,CELL_DRUG,ALL-SIL,1
796,DB11800,CELL_DRUG,MY-M12,1
804,DB00642,CELL_DRUG,ALL-PO,1
814,DB03496,CELL_DRUG,MOLT-13,1
841,DB04297,CELL_DRUG,KARPAS-45,1
843,DB04297,CELL_DRUG,LC4-1,1
844,DB04297,CELL_DRUG,LOUCY,1
864,DB04297,CELL_DRUG,HAL-01,1
870,DB04297,CELL_DRUG,Jurkat,1
885,DB04297,CELL_DRUG,MY-M12,1
980,DB06603,CELL_DRUG,CCRF-CEM,1
983,DB06603,CELL_DRUG,MOLT-4,1
998,DB06603,CELL_DRUG,BE-13,1
1052,DB06603,CELL_DRUG,KARPAS-45,1
1055,DB06603,CELL_DRUG,KE-37,1
1067,DB06603,CELL_DRUG,LC4-1,1
1069,DB06603,CELL_DRUG,LOUCY,1
1108,DB06603,CELL_DRUG,P12-ICHIKAWA,1
1109,DB06603,CELL_DRUG,P30-OHK,1
1113,DB06603,CELL_DRUG,PF-382,1
1120,DB06603,CELL_DRUG,RPMI-8402,1
1121,DB06603,CELL_DRUG,RS4-11,1
1138,DB06603,CELL_DRUG,SUP-T1,1
1143,DB06603,CELL_DRUG,TALL-1,1
1159,DB06603,CELL_DRUG,ATN-1,1
1195,DB06603,CELL_DRUG,ALL-PO,1
1218,DB06603,CELL_DRUG,YT,1
1225,DB06603,CELL_DRUG,HAL-01,1
1245,DB06603,CELL_DRUG,Jurkat,1
1297,DB06603,CELL_DRUG,ALL-SIL,1
1300,DB06603,CELL_DRUG,DND-41,1
1335,DB06603,CELL_DRUG,MY-M12,1
1480,DB00570,CELL_DRUG,MY-M12,1
1618,DB01248,CELL_DRUG,MY-M12,1
1644,DB00563,CELL_DRUG,CCRF-CEM,1
1645,DB00563,CELL_DRUG,MOLT-4,1
1648,DB00563,CELL_DRUG,BE-13,1
1663,DB00563,CELL_DRUG,KE-37,1
1670,DB00563,CELL_DRUG,MOLT-16,1
1677,DB00563,CELL_DRUG,P12-ICHIKAWA,1
1678,DB00563,CELL_DRUG,P30-OHK,1
1679,DB00563,CELL_DRUG,PF-382,1
1682,DB00563,CELL_DRUG,RPMI-8402,1
1683,DB00563,CELL_DRUG,RS4-11,1
1691,DB00563,CELL_DRUG,ATN-1,1
1700,DB00563,CELL_DRUG,ALL-PO,1
1705,DB00563,CELL_DRUG,HAL-01,1
1709,DB00563,CELL_DRUG,SUP-B15,1
1722,DB00563,CELL_DRUG,MY-M12,1
1733,DB00755,CELL_DRUG,ATN-1,1
1738,DB04868,CELL_DRUG,MY-M12,1
1771,DB06287,CELL_DRUG,MOLT-4,1
1778,DB06287,CELL_DRUG,BE-13,1
1797,DB06287,CELL_DRUG,GR-ST,1
1812,DB06287,CELL_DRUG,KE-37,1
1828,DB06287,CELL_DRUG,MOLT-16,1
1840,DB06287,CELL_DRUG,RS4-11,1
1882,DB06287,CELL_DRUG,YT,1
1913,DB06287,CELL_DRUG,SUP-B15,1
1944,DB06287,CELL_DRUG,MY-M12,1
1976,DB06469,CELL_DRUG,KE-37,1
2248,DB00997,CELL_DRUG,CCRF-CEM,1
2249,DB00997,CELL_DRUG,MOLT-4,1
2307,DB00997,CELL_DRUG,MOLT-13,1
2308,DB00997,CELL_DRUG,MOLT-16,1
2318,DB00997,CELL_DRUG,P30-OHK,1
2335,DB00997,CELL_DRUG,ATN-1,1
2554,DB04690,CELL_DRUG,CCRF-CEM,1
2555,DB04690,CELL_DRUG,MOLT-4,1
2564,DB04690,CELL_DRUG,BE-13,1
2593,DB04690,CELL_DRUG,GR-ST,1
2612,DB04690,CELL_DRUG,KE-37,1
2626,DB04690,CELL_DRUG,LC4-1,1
2636,DB04690,CELL_DRUG,MOLT-13,1
2637,DB04690,CELL_DRUG,MOLT-16,1
2653,DB04690,CELL_DRUG,P12-ICHIKAWA,1
2654,DB04690,CELL_DRUG,P30-OHK,1
2658,DB04690,CELL_DRUG,PF-382,1
2663,DB04690,CELL_DRUG,RPMI-8402,1
2664,DB04690,CELL_DRUG,RS4-11,1
2671,DB04690,CELL_DRUG,SUP-T1,1
2685,DB04690,CELL_DRUG,ATN-1,1
2706,DB04690,CELL_DRUG,ALL-PO,1
2716,DB04690,CELL_DRUG,YT,1
2718,DB04690,CELL_DRUG,HAL-01,1
2733,DB04690,CELL_DRUG,Jurkat,1
2752,DB04690,CELL_DRUG,SUP-B15,1
2757,DB04690,CELL_DRUG,ALL-SIL,1
2760,DB04690,CELL_DRUG,DND-41,1
2887,DB00570,CELL_DRUG,CCRF-CEM,1
2890,DB00570,CELL_DRUG,MOLT-4,1
2911,DB00570,CELL_DRUG,BE-13,1
2949,DB00570,CELL_DRUG,GR-ST,1
2970,DB00570,CELL_DRUG,KARPAS-45,1
2973,DB00570,CELL_DRUG,KE-37,1
2990,DB00570,CELL_DRUG,LC4-1,1
2992,DB00570,CELL_DRUG,LOUCY,1
3010,DB00570,CELL_DRUG,MOLT-13,1
3011,DB00570,CELL_DRUG,MOLT-16,1
3037,DB00570,CELL_DRUG,P12-ICHIKAWA,1
3038,DB00570,CELL_DRUG,P30-OHK,1
3043,DB00570,CELL_DRUG,PF-382,1
3050,DB00570,CELL_DRUG,RPMI-8402,1
3051,DB00570,CELL_DRUG,RS4-11,1
3066,DB00570,CELL_DRUG,SUP-T1,1
3089,DB00570,CELL_DRUG,ATN-1,1
3120,DB00570,CELL_DRUG,ALL-PO,1
3144,DB00570,CELL_DRUG,YT,1
3149,DB00570,CELL_DRUG,HAL-01,1
3162,DB00570,CELL_DRUG,Jurkat,1
3196,DB00570,CELL_DRUG,SUP-B15,1
3205,DB00570,CELL_DRUG,ALL-SIL,1
3207,DB00570,CELL_DRUG,DND-41,1
3273,DB00987,CELL_DRUG,KE-37,1
3276,DB00987,CELL_DRUG,MOLT-16,1
3279,DB00987,CELL_DRUG,P12-ICHIKAWA,1
3280,DB00987,CELL_DRUG,P30-OHK,1
3281,DB00987,CELL_DRUG,RPMI-8402,1
3282,DB00987,CELL_DRUG,SUP-T1,1
3286,DB00987,CELL_DRUG,ALL-PO,1
3288,DB00987,CELL_DRUG,HAL-01,1
3290,DB00987,CELL_DRUG,SUP-B15,1
3447,DB01248,CELL_DRUG,CCRF-CEM,1
3449,DB01248,CELL_DRUG,MOLT-4,1
3470,DB01248,CELL_DRUG,BE-13,1
3512,DB01248,CELL_DRUG,GR-ST,1
3536,DB01248,CELL_DRUG,KARPAS-45,1
3539,DB01248,CELL_DRUG,KE-37,1
3560,DB01248,CELL_DRUG,LC4-1,1
3562,DB01248,CELL_DRUG,LOUCY,1
3581,DB01248,CELL_DRUG,MOLT-13,1
3582,DB01248,CELL_DRUG,MOLT-16,1
3614,DB01248,CELL_DRUG,P12-ICHIKAWA,1
3615,DB01248,CELL_DRUG,P30-OHK,1
3619,DB01248,CELL_DRUG,PF-382,1
3626,DB01248,CELL_DRUG,RPMI-8402,1
3627,DB01248,CELL_DRUG,RS4-11,1
3647,DB01248,CELL_DRUG,SUP-T1,1
3676,DB01248,CELL_DRUG,ATN-1,1
3711,DB01248,CELL_DRUG,ALL-PO,1
3742,DB01248,CELL_DRUG,YT,1
3749,DB01248,CELL_DRUG,HAL-01,1
3767,DB01248,CELL_DRUG,Jurkat,1
3819,DB01248,CELL_DRUG,SUP-B15,1
3832,DB01248,CELL_DRUG,ALL-SIL,1
3835,DB01248,CELL_DRUG,DND-41,1
3923,DB12340,CELL_DRUG,LOUCY,1
3927,DB12340,CELL_DRUG,ALL-PO,1
3928,DB12340,CELL_DRUG,SUP-B15,1
3938,DB04868,CELL_DRUG,ALL-SIL,1
4016,DB02010,CELL_DRUG,CCRF-CEM,1
4036,DB02010,CELL_DRUG,BE-13,1
4083,DB02010,CELL_DRUG,KARPAS-45,1
4086,DB02010,CELL_DRUG,KE-37,1
4102,DB02010,CELL_DRUG,LC4-1,1
4103,DB02010,CELL_DRUG,LOUCY,1
4117,DB02010,CELL_DRUG,MOLT-13,1
4118,DB02010,CELL_DRUG,MOLT-16,1
4143,DB02010,CELL_DRUG,P12-ICHIKAWA,1
4144,DB02010,CELL_DRUG,P30-OHK,1
4147,DB02010,CELL_DRUG,PF-382,1
4151,DB02010,CELL_DRUG,RPMI-8402,1
4152,DB02010,CELL_DRUG,RS4-11,1
4164,DB02010,CELL_DRUG,SUP-T1,1
4188,DB02010,CELL_DRUG,ATN-1,1
4213,DB02010,CELL_DRUG,ALL-PO,1
4235,DB02010,CELL_DRUG,YT,1
4239,DB02010,CELL_DRUG,HAL-01,1
4245,DB02010,CELL_DRUG,Jurkat,1
4274,DB02010,CELL_DRUG,SUP-B15,1
4285,DB02010,CELL_DRUG,ALL-SIL,1
4287,DB02010,CELL_DRUG,DND-41,1
4346,DB05220,CELL_DRUG,BE-13,1
4354,DB05220,CELL_DRUG,MOLT-16,1
4356,DB05220,CELL_DRUG,RS4-11,1
4357,DB05220,CELL_DRUG,ATN-1,1
4360,DB05220,CELL_DRUG,ALL-PO,1
4420,DB01254,CELL_DRUG,SUP-B15,1
4421,DB01254,CELL_DRUG,ALL-SIL,1
4501,DB01229,CELL_DRUG,CCRF-CEM,1
4504,DB01229,CELL_DRUG,MOLT-4,1
4519,DB01229,CELL_DRUG,BE-13,1
4551,DB01229,CELL_DRUG,GR-ST,1
4572,DB01229,CELL_DRUG,KARPAS-45,1
4574,DB01229,CELL_DRUG,KE-37,1
4590,DB01229,CELL_DRUG,LC4-1,1
4592,DB01229,CELL_DRUG,LOUCY,1
4604,DB01229,CELL_DRUG,MOLT-13,1
4605,DB01229,CELL_DRUG,MOLT-16,1
4626,DB01229,CELL_DRUG,P12-ICHIKAWA,1
4627,DB01229,CELL_DRUG,P30-OHK,1
4632,DB01229,CELL_DRUG,PF-382,1
4638,DB01229,CELL_DRUG,RPMI-8402,1
4639,DB01229,CELL_DRUG,RS4-11,1
4651,DB01229,CELL_DRUG,SUP-T1,1
4669,DB01229,CELL_DRUG,ATN-1,1
4696,DB01229,CELL_DRUG,ALL-PO,1
4720,DB01229,CELL_DRUG,HAL-01,1
4732,DB01229,CELL_DRUG,Jurkat,1
4756,DB01229,CELL_DRUG,SUP-B15,1
4763,DB01229,CELL_DRUG,ALL-SIL,1
4848,DB00877,CELL_DRUG,CCRF-CEM,1
4858,DB00877,CELL_DRUG,BE-13,1
4878,DB00877,CELL_DRUG,GR-ST,1
4895,DB00877,CELL_DRUG,KE-37,1
4904,DB00877,CELL_DRUG,LOUCY,1
4928,DB00877,CELL_DRUG,P12-ICHIKAWA,1
4931,DB00877,CELL_DRUG,PF-382,1
4934,DB00877,CELL_DRUG,RPMI-8402,1
4935,DB00877,CELL_DRUG,RS4-11,1
4940,DB00877,CELL_DRUG,SUP-T1,1
4952,DB00877,CELL_DRUG,ATN-1,1
4985,DB00877,CELL_DRUG,YT,1
4987,DB00877,CELL_DRUG,HAL-01,1
5075,DB00441,CELL_DRUG,CCRF-CEM,1
5103,DB00441,CELL_DRUG,GR-ST,1
5118,DB00441,CELL_DRUG,KE-37,1
5128,DB00441,CELL_DRUG,LC4-1,1
5136,DB00441,CELL_DRUG,MOLT-16,1
5148,DB00441,CELL_DRUG,P12-ICHIKAWA,1
5149,DB00441,CELL_DRUG,P30-OHK,1
5151,DB00441,CELL_DRUG,PF-382,1
5156,DB00441,CELL_DRUG,RPMI-8402,1
5157,DB00441,CELL_DRUG,RS4-11,1
5163,DB00441,CELL_DRUG,SUP-T1,1
5170,DB00441,CELL_DRUG,ATN-1,1
5194,DB00441,CELL_DRUG,YT,1
5195,DB00441,CELL_DRUG,HAL-01,1
5216,DB00441,CELL_DRUG,SUP-B15,1
5220,DB00441,CELL_DRUG,ALL-SIL,1
5426,DB00188,CELL_DRUG,CCRF-CEM,1
5428,DB00188,CELL_DRUG,MOLT-4,1
5454,DB00188,CELL_DRUG,BE-13,1
5500,DB00188,CELL_DRUG,GR-ST,1
5530,DB00188,CELL_DRUG,KARPAS-45,1
5534,DB00188,CELL_DRUG,KE-37,1
5559,DB00188,CELL_DRUG,LC4-1,1
5561,DB00188,CELL_DRUG,LOUCY,1
5582,DB00188,CELL_DRUG,MOLT-13,1
5583,DB00188,CELL_DRUG,MOLT-16,1
5619,DB00188,CELL_DRUG,P12-ICHIKAWA,1
5620,DB00188,CELL_DRUG,P30-OHK,1
5624,DB00188,CELL_DRUG,PF-382,1
5633,DB00188,CELL_DRUG,RPMI-8402,1
5634,DB00188,CELL_DRUG,RS4-11,1
5653,DB00188,CELL_DRUG,SUP-T1,1
5694,DB00188,CELL_DRUG,ATN-1,1
5735,DB00188,CELL_DRUG,ALL-PO,1
5767,DB00188,CELL_DRUG,YT,1
5774,DB00188,CELL_DRUG,HAL-01,1
5793,DB00188,CELL_DRUG,Jurkat,1
5851,DB00188,CELL_DRUG,SUP-B15,1
5869,DB00188,CELL_DRUG,ALL-SIL,1
5871,DB00188,CELL_DRUG,DND-41,1
6019,DB12731,CELL_DRUG,CCRF-CEM,1
6022,DB12731,CELL_DRUG,MOLT-4,1
6032,DB12731,CELL_DRUG,BE-13,1
6052,DB12731,CELL_DRUG,GR-ST,1
6074,DB12731,CELL_DRUG,LC4-1,1
6075,DB12731,CELL_DRUG,LOUCY,1
6118,DB12731,CELL_DRUG,RPMI-8402,1
6133,DB12731,CELL_DRUG,SUP-T1,1
6195,DB12731,CELL_DRUG,YT,1
6199,DB12731,CELL_DRUG,HAL-01,1
6243,DB12731,CELL_DRUG,DND-41,1
6275,DB11760,CELL_DRUG,SUP-B15,1
6371,DB00445,CELL_DRUG,CCRF-CEM,1
6372,DB00445,CELL_DRUG,MOLT-4,1
6389,DB00445,CELL_DRUG,KE-37,1
6393,DB00445,CELL_DRUG,MOLT-16,1
6398,DB00445,CELL_DRUG,P12-ICHIKAWA,1
6400,DB00445,CELL_DRUG,RPMI-8402,1
6401,DB00445,CELL_DRUG,RS4-11,1
6405,DB00445,CELL_DRUG,ATN-1,1
6419,DB00445,CELL_DRUG,SUP-B15,1
6444,DB01030,CELL_DRUG,MOLT-13,1
6446,DB01030,CELL_DRUG,ATN-1,1
6453,DB01030,CELL_DRUG,ALL-SIL,1
6454,DB01030,CELL_DRUG,DND-41,1
6467,DB00444,CELL_DRUG,CCRF-CEM,1
6476,DB00444,CELL_DRUG,KE-37,1
6477,DB00444,CELL_DRUG,MOLT-16,1
6478,DB00444,CELL_DRUG,P12-ICHIKAWA,1
6479,DB00444,CELL_DRUG,RS4-11,1
6486,DB00444,CELL_DRUG,SUP-B15,1
6516,DB01204,CELL_DRUG,MOLT-13,1
6517,DB01204,CELL_DRUG,MOLT-16,1
6519,DB01204,CELL_DRUG,P12-ICHIKAWA,1
6520,DB01204,CELL_DRUG,P30-OHK,1
6523,DB01204,CELL_DRUG,RS4-11,1
6526,DB01204,CELL_DRUG,ATN-1,1
6531,DB01204,CELL_DRUG,ALL-PO,1
6537,DB01204,CELL_DRUG,SUP-B15,1
6538,DB01204,CELL_DRUG,ALL-SIL,1
6588,DB00970,CELL_DRUG,CCRF-CEM,1
6601,DB00970,CELL_DRUG,BE-13,1
6629,DB00970,CELL_DRUG,GR-ST,1
6644,DB00970,CELL_DRUG,KARPAS-45,1
6648,DB00970,CELL_DRUG,KE-37,1
6665,DB00970,CELL_DRUG,LC4-1,1
6676,DB00970,CELL_DRUG,MOLT-13,1
6677,DB00970,CELL_DRUG,MOLT-16,1
6690,DB00970,CELL_DRUG,P12-ICHIKAWA,1
6691,DB00970,CELL_DRUG,P30-OHK,1
6693,DB00970,CELL_DRUG,PF-382,1
6698,DB00970,CELL_DRUG,RS4-11,1
6707,DB00970,CELL_DRUG,SUP-T1,1
6717,DB00970,CELL_DRUG,ATN-1,1
6772,DB00970,CELL_DRUG,SUP-B15,1
6775,DB00970,CELL_DRUG,ALL-SIL,1
6777,DB00970,CELL_DRUG,DND-41,1
6862,DB00541,CELL_DRUG,CCRF-CEM,1
6873,DB00541,CELL_DRUG,BE-13,1
6894,DB00541,CELL_DRUG,GR-ST,1
6909,DB00541,CELL_DRUG,KARPAS-45,1
6913,DB00541,CELL_DRUG,KE-37,1
6924,DB00541,CELL_DRUG,LC4-1,1
6926,DB00541,CELL_DRUG,LOUCY,1
6935,DB00541,CELL_DRUG,MOLT-13,1
6936,DB00541,CELL_DRUG,MOLT-16,1
6947,DB00541,CELL_DRUG,P12-ICHIKAWA,1
6948,DB00541,CELL_DRUG,P30-OHK,1
6956,DB00541,CELL_DRUG,RS4-11,1
6963,DB00541,CELL_DRUG,SUP-T1,1
6973,DB00541,CELL_DRUG,ATN-1,1
6993,DB00541,CELL_DRUG,ALL-PO,1
7014,DB00541,CELL_DRUG,Jurkat,1
7034,DB00541,CELL_DRUG,SUP-B15,1
7036,DB00541,CELL_DRUG,ALL-SIL,1
7038,DB00541,CELL_DRUG,DND-41,1
7105,DB11581,CELL_DRUG,LC4-1,1
7106,DB11581,CELL_DRUG,LOUCY,1
7110,DB11581,CELL_DRUG,RS4-11,1
7113,DB11581,CELL_DRUG,ALL-PO,1
7116,DB11581,CELL_DRUG,SUP-B15,1
7210,DB00970,CELL_DRUG,MOLT-4,1
7273,DB00970,CELL_DRUG,LOUCY,1
7320,DB00970,CELL_DRUG,RPMI-8402,1
7373,DB00970,CELL_DRUG,ALL-PO,1
7394,DB00970,CELL_DRUG,YT,1
7402,DB00970,CELL_DRUG,HAL-01,1
7414,DB00970,CELL_DRUG,Jurkat,1
7635,DB00361,CELL_DRUG,CCRF-CEM,1
7637,DB00361,CELL_DRUG,MOLT-4,1
7648,DB00361,CELL_DRUG,BE-13,1
7682,DB00361,CELL_DRUG,GR-ST,1
7700,DB00361,CELL_DRUG,KARPAS-45,1
7703,DB00361,CELL_DRUG,KE-37,1
7714,DB00361,CELL_DRUG,LC4-1,1
7716,DB00361,CELL_DRUG,LOUCY,1
7728,DB00361,CELL_DRUG,MOLT-13,1
7729,DB00361,CELL_DRUG,MOLT-16,1
7751,DB00361,CELL_DRUG,P12-ICHIKAWA,1
7752,DB00361,CELL_DRUG,P30-OHK,1
7757,DB00361,CELL_DRUG,PF-382,1
7763,DB00361,CELL_DRUG,RPMI-8402,1
7764,DB00361,CELL_DRUG,RS4-11,1
7773,DB00361,CELL_DRUG,SUP-T1,1
7788,DB00361,CELL_DRUG,ATN-1,1
7817,DB00361,CELL_DRUG,ALL-PO,1
7833,DB00361,CELL_DRUG,YT,1
7849,DB00361,CELL_DRUG,Jurkat,1
7875,DB00361,CELL_DRUG,SUP-B15,1
7880,DB00361,CELL_DRUG,ALL-SIL,1
7882,DB00361,CELL_DRUG,DND-41,1
7961,DB00530,CELL_DRUG,TALL-1,0
8062,DB01268,CELL_DRUG,SUP-T1,0
8124,DB00398,CELL_DRUG,TALL-1,0
8371,DB11805,CELL_DRUG,CCRF-CEM,0
8381,DB11805,CELL_DRUG,GR-ST,0
8409,DB11805,CELL_DRUG,RS4-11,0
8413,DB11805,CELL_DRUG,SUP-T1,0
8414,DB11805,CELL_DRUG,TALL-1,0
8557,DB00205,CELL_DRUG,KARPAS-45,0
8572,DB00205,CELL_DRUG,LC4-1,0
8581,DB00205,CELL_DRUG,MOLT-13,0
8606,DB00205,CELL_DRUG,P30-OHK,0
8613,DB00205,CELL_DRUG,RS4-11,0
8622,DB00205,CELL_DRUG,SUP-T1,0
8626,DB00205,CELL_DRUG,TALL-1,0
8663,DB00205,CELL_DRUG,YT,0
8697,DB00205,CELL_DRUG,SUP-B15,0
8700,DB00205,CELL_DRUG,ALL-SIL,0
8817,DB06195,CELL_DRUG,CCRF-CEM,0
8819,DB06195,CELL_DRUG,MOLT-4,0
8833,DB06195,CELL_DRUG,BE-13,0
8857,DB06195,CELL_DRUG,GR-ST,0
8870,DB06195,CELL_DRUG,KARPAS-45,0
8872,DB06195,CELL_DRUG,KE-37,0
8885,DB06195,CELL_DRUG,LC4-1,0
8925,DB06195,CELL_DRUG,P30-OHK,0
8928,DB06195,CELL_DRUG,PF-382,0
8942,DB06195,CELL_DRUG,SUP-T1,0
8946,DB06195,CELL_DRUG,TALL-1,0
8962,DB06195,CELL_DRUG,ATN-1,0
8978,DB06195,CELL_DRUG,ALL-PO,0
8995,DB06195,CELL_DRUG,YT,0
9003,DB06195,CELL_DRUG,HAL-01,0
9032,DB06195,CELL_DRUG,SUP-B15,0
9035,DB06195,CELL_DRUG,ALL-SIL,0
9052,DB06195,CELL_DRUG,MY-M12,0
9085,DB01259,CELL_DRUG,TALL-1,0
9096,DB01259,CELL_DRUG,MY-M12,0
9166,DB00773,CELL_DRUG,KARPAS-45,0
9208,DB00773,CELL_DRUG,TALL-1,0
9371,DB01128,CELL_DRUG,GR-ST,0
9544,DB00544,CELL_DRUG,TALL-1,0
9610,DB15399,CELL_DRUG,TALL-1,0
9640,DB06075,CELL_DRUG,TALL-1,0
9809,DB00307,CELL_DRUG,BE-13,0
9850,DB00307,CELL_DRUG,GR-ST,0
9880,DB00307,CELL_DRUG,KARPAS-45,0
9953,DB00307,CELL_DRUG,P12-ICHIKAWA,0
9954,DB00307,CELL_DRUG,P30-OHK,0
9957,DB00307,CELL_DRUG,PF-382,0
9965,DB00307,CELL_DRUG,RPMI-8402,0
9966,DB00307,CELL_DRUG,RS4-11,0
9984,DB00307,CELL_DRUG,SUP-T1,0
9995,DB00307,CELL_DRUG,TALL-1,0
10086,DB00307,CELL_DRUG,HAL-01,0
10226,DB00307,CELL_DRUG,MY-M12,0
10319,DB00290,CELL_DRUG,GR-ST,0
10329,DB00290,CELL_DRUG,KARPAS-45,0
10332,DB00290,CELL_DRUG,KE-37,0
10372,DB00290,CELL_DRUG,RPMI-8402,0
10381,DB00290,CELL_DRUG,TALL-1,0
10392,DB00290,CELL_DRUG,ATN-1,0
10684,DB00914,CELL_DRUG,CCRF-CEM,0
10688,DB00914,CELL_DRUG,MOLT-4,0
10721,DB00914,CELL_DRUG,BE-13,0
10780,DB00914,CELL_DRUG,GR-ST,0
10821,DB00914,CELL_DRUG,KARPAS-45,0
10824,DB00914,CELL_DRUG,KE-37,0
10853,DB00914,CELL_DRUG,LC4-1,0
10855,DB00914,CELL_DRUG,LOUCY,0
10885,DB00914,CELL_DRUG,MOLT-13,0
10929,DB00914,CELL_DRUG,P12-ICHIKAWA,0
10930,DB00914,CELL_DRUG,P30-OHK,0
10935,DB00914,CELL_DRUG,PF-382,0
10945,DB00914,CELL_DRUG,RPMI-8402,0
10946,DB00914,CELL_DRUG,RS4-11,0
10977,DB00914,CELL_DRUG,SUP-T1,0
10994,DB00914,CELL_DRUG,TALL-1,0
11026,DB00914,CELL_DRUG,ATN-1,0
11081,DB00914,CELL_DRUG,ALL-PO,0
11139,DB00914,CELL_DRUG,HAL-01,0
11244,DB00914,CELL_DRUG,SUP-B15,0
11272,DB00914,CELL_DRUG,ALL-SIL,0
11276,DB00914,CELL_DRUG,DND-41,0
11350,DB00914,CELL_DRUG,MY-M12,0
11520,DB06589,CELL_DRUG,CCRF-CEM,0
11524,DB06589,CELL_DRUG,MOLT-4,0
11542,DB06589,CELL_DRUG,BE-13,0
11579,DB06589,CELL_DRUG,GR-ST,0
