,head,relation,tail,label
180,DB03010,CELL_DRUG,SF539,1
238,DB03010,CELL_DRUG,GAMG,1
241,DB03010,CELL_DRUG,GI-1,1
246,DB03010,CELL_DRUG,H4,1
277,DB03010,CELL_DRUG,KALS-1,1
282,DB03010,CELL_DRUG,KINGS-1,1
285,DB03010,CELL_DRUG,KNS-42,1
327,DB03010,CELL_DRUG,MOG-G-CCM,1
328,DB03010,CELL_DRUG,MOG-G-UVW,1
341,DB03010,CELL_DRUG,NMC-G1,1
342,DB03010,CELL_DRUG,no-11,1
344,DB03010,CELL_DRUG,no-10,1
410,DB03010,CELL_DRUG,SW1783,1
1022,DB06603,CELL_DRUG,GAMG,1
1024,DB06603,CELL_DRUG,GI-1,1
1085,DB06603,CELL_DRUG,MOG-G-UVW,1
1412,DB00570,CELL_DRUG,KNS-42,1
1418,DB00570,CELL_DRUG,NMC-G1,1
1419,DB00570,CELL_DRUG,no-11,1
1438,DB00570,CELL_DRUG,KNS-81-FD,1
1445,DB00570,CELL_DRUG,D-336MG,1
1447,DB00570,CELL_DRUG,D-502MG,1
1543,DB01248,CELL_DRUG,KNS-42,1
1549,DB01248,CELL_DRUG,NMC-G1,1
1550,DB01248,CELL_DRUG,no-11,1
1551,DB01248,CELL_DRUG,no-10,1
1569,DB01248,CELL_DRUG,KNS-81-FD,1
1576,DB01248,CELL_DRUG,D-336MG,1
1578,DB01248,CELL_DRUG,D-502MG,1
1796,DB06287,CELL_DRUG,GAMG,1
1799,DB06287,CELL_DRUG,H4,1
1826,DB06287,CELL_DRUG,MOG-G-CCM,1
1827,DB06287,CELL_DRUG,MOG-G-UVW,1
1883,DB06287,CELL_DRUG,D-336MG,1
1970,DB06469,CELL_DRUG,H4,1
2018,DB05134,CELL_DRUG,SF539,1
2025,DB05134,CELL_DRUG,GAMG,1
2026,DB05134,CELL_DRUG,H4,1
2058,DB05134,CELL_DRUG,D-336MG,1
2254,DB00997,CELL_DRUG,SF539,1
2274,DB00997,CELL_DRUG,H4,1
2306,DB00997,CELL_DRUG,MOG-G-UVW,1
2313,DB00997,CELL_DRUG,NMC-G1,1
2430,DB00441,CELL_DRUG,NMC-G1,1
2442,DB00441,CELL_DRUG,KNS-81-FD,1
2445,DB00441,CELL_DRUG,D-336MG,1
2447,DB00441,CELL_DRUG,D-502MG,1
2561,DB04690,CELL_DRUG,SF539,1
2590,DB04690,CELL_DRUG,GI-1,1
2595,DB04690,CELL_DRUG,H4,1
2635,DB04690,CELL_DRUG,MOG-G-UVW,1
2673,DB04690,CELL_DRUG,SW1783,1
2904,DB00570,CELL_DRUG,SF539,1
2944,DB00570,CELL_DRUG,GAMG,1
2946,DB00570,CELL_DRUG,GI-1,1
