,head,relation,tail,label
91,DB03010,CELL_DRUG,CP50-MEL-B,1
92,DB03010,CELL_DRUG,CP66-MEL,1
114,DB03010,CELL_DRUG,LB2518-MEL,1
115,DB03010,CELL_DRUG,LB373-MEL-D,1
125,DB03010,CELL_DRUG,MZ7-mel,1
157,DB03010,CELL_DRUG,SK-MEL-2,1
158,DB03010,CELL_DRUG,SK-MEL-5,1
171,DB03010,CELL_DRUG,M14,1
172,DB03010,CELL_DRUG,UACC-62,1
173,DB03010,CELL_DRUG,UACC-257,1
193,DB03010,CELL_DRUG,A2058,1
194,DB03010,CELL_DRUG,A375,1
204,DB03010,CELL_DRUG,COLO-800,1
206,DB03010,CELL_DRUG,COLO-679,1
237,DB03010,CELL_DRUG,G-361,1
258,DB03010,CELL_DRUG,HMV-II,1
265,DB03010,CELL_DRUG,HT-144,1
270,DB03010,CELL_DRUG,IGR-1,1
272,DB03010,CELL_DRUG,IPC-298,1
273,DB03010,CELL_DRUG,IST-MEL1,1
316,DB03010,CELL_DRUG,MEL-JUSO,1
381,DB03010,CELL_DRUG,RVH-421,1
384,DB03010,CELL_DRUG,SH-4,1
392,DB03010,CELL_DRUG,SK-MEL-3,1
393,DB03010,CELL_DRUG,SK-MEL-30,1
467,DB03010,CELL_DRUG,CHL-1,1
469,DB03010,CELL_DRUG,RPMI-7951,1
479,DB03010,CELL_DRUG,A101D,1
487,DB03010,CELL_DRUG,GAK,1
563,DB03010,CELL_DRUG,MZ2-MEL,1
583,DB03010,CELL_DRUG,IGR-37,1
632,DB03010,CELL_DRUG,WM278,1
636,DB03010,CELL_DRUG,451Lu,1
664,DB03010,CELL_DRUG,K2,1
700,DB03010,CELL_DRUG,WM1552C,1
701,DB03010,CELL_DRUG,WM35,1
702,DB03010,CELL_DRUG,WM793B,1
938,DB06603,CELL_DRUG,CP66-MEL,1
951,DB06603,CELL_DRUG,LB2518-MEL,1
952,DB06603,CELL_DRUG,LB373-MEL-D,1
959,DB06603,CELL_DRUG,MZ7-mel,1
981,DB06603,CELL_DRUG,SK-MEL-2,1
982,DB06603,CELL_DRUG,SK-MEL-5,1
992,DB06603,CELL_DRUG,UACC-257,1
1007,DB06603,CELL_DRUG,COLO-800,1
1008,DB06603,CELL_DRUG,COLO-679,1
1021,DB06603,CELL_DRUG,G-361,1
1041,DB06603,CELL_DRUG,HT-144,1
1046,DB06603,CELL_DRUG,IGR-1,1
1131,DB06603,CELL_DRUG,SK-MEL-3,1
1132,DB06603,CELL_DRUG,SK-MEL-30,1
1172,DB06603,CELL_DRUG,CHL-1,1
1176,DB06603,CELL_DRUG,RPMI-7951,1
1286,DB06603,CELL_DRUG,WM278,1
1383,DB00570,CELL_DRUG,CP50-MEL-B,1
1397,DB00570,CELL_DRUG,SK-MEL-28,1
1403,DB00570,CELL_DRUG,COLO-800,1
1409,DB00570,CELL_DRUG,IPC-298,1
1416,DB00570,CELL_DRUG,MEL-HO,1
1422,DB00570,CELL_DRUG,RVH-421,1
1425,DB00570,CELL_DRUG,SK-MEL-30,1
1426,DB00570,CELL_DRUG,SK-MEL-31,1
1441,DB00570,CELL_DRUG,VMRC-MELG,1
1453,DB00570,CELL_DRUG,MZ2-MEL,1
